은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
E04,삼호저축은행,정기적금,일정금액을 저익적으로 납입하면 만기일에 목돈을 받는 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.4
E04,삼호저축은행,정기적금(인터넷-모바일),일정금액을 정기적으로 납입하면 만기일에 목돈을 받는 상품,36개월,36개월,제한없음,제한없음,3.5
E04,삼호저축은행,정기적금(자유적립),"입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",6개월 이상,12개월 미만,제한없음,제한없음,1.8
E04,삼호저축은행,정기적금(자유적립),"입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",12개월 이상,24개월 미만,제한없음,제한없음,3.8
E04,삼호저축은행,정기적금(자유적립),"입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",24개월 이상,36개월 이하,제한없음,제한없음,3.7
E04,삼호저축은행,"정기적금(자유적립-인터넷,모바일)","입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",6개월 이상,12개월 미만,제한없음,제한없음,1.8
E04,삼호저축은행,"정기적금(자유적립-인터넷,모바일)","입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",12개월 이상,24개월 미만,제한없음,제한없음,3.8
E04,삼호저축은행,"정기적금(자유적립-인터넷,모바일)","입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",24개월 이상,36개월 이하,제한없음,제한없음,3.7
E04,삼호저축은행,자유적립예금,개인의 일시 여유자금을 높은 이자율로 운용할 수 있는 입출금이 자유로운 예금,6개월 이상,12개월 미만,제한없음,제한없음,1.8
E04,삼호저축은행,자유적립예금,"입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",12개월 이상,24개월 미만,제한없음,제한없음,3.8
E04,삼호저축은행,자유적립예금,"입금금액, 납입횟수에 제한없이 자유롭게 입금하는 상품",24개월 이상,36개월 이하,제한없음,제한없음,3.7
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.45
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,6개월 이상,12개월 미만,제한없음,제한없음,1.05
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.9
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,36개월 이상,48개월 미만,제한없음,제한없음,3.0
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,60개월,60개월,제한없음,제한없음,3.05
020,우리은행,WON 적금,스마트폰으로 쉽고 편리하게 가입할 수 있는 적립식 예금 상품,12개월,12개월,제한없음,제한없음,4.0
020,우리은행,WON 적금,스마트폰으로 쉽고 편리하게 가입할 수 있는 적립식 예금 상품,12개월,12개월,제한없음,제한없음,4.0
020,우리은행,우리 (영업점명) 적금,특정영업점에서 판매하는 특판적금,12개월,12개월,제한없음,제한없음,4.3
020,우리은행,우리 (영업점명) 적금,특정영업점에서 판매하는 특판적금,12개월,12개월,제한없음,제한없음,4.1
020,우리은행,우리 으쓱(ESG) 적금,친환경 실천서약 및 대중교통 이용에 따른 우대금리를 제공하는 상품,12개월,12개월,제한없음,제한없음,3.6
020,우리은행,우리페이 적금,우리은행과 우리카드 “우리페이 계좌결제서비스” 거래실적에 따른 우대금리 제공,12개월,12개월,제한없음,제한없음,2.0
020,우리은행,우리 Magic 적금 by 롯데카드,우리은행과 롯데카드 거래실적에 따른 우대금리를 제공하는 상품,12개월,12개월,제한없음,제한없음,2.5
F05,오투저축은행,비대면 정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,24개월이상,36개월이하,제한없음,제한없음,4.0
020,우리은행,우리사랑나누미적금,"비영리 법인(단체포함) 중 법정 / 지정기부금단체(종교단체, 공익단체, 공공기관 등)에 기부를 위한 자동이체 시 우대혜택을 제공",6개월,11개월,제한없음,제한없음,2.4
020,우리은행,우리사랑나누미적금,"비영리 법인(단체포함) 중 법정 / 지정기부금단체(종교단체, 공익단체, 공공기관 등)에 기부를 위한 자동이체 시 우대혜택을 제공",12개월,12개월,제한없음,제한없음,2.7
020,우리은행,우리사랑나누미적금,"비영리 법인(단체포함) 중 법정 / 지정기부금단체(종교단체, 공익단체, 공공기관 등)에 기부를 위한 자동이체 시 우대혜택을 제공",24개월,24개월,제한없음,제한없음,2.75
020,우리은행,우리사랑나누미적금,"비영리 법인(단체포함) 중 법정 / 지정기부금단체(종교단체, 공익단체, 공공기관 등)에 기부를 위한 자동이체 시 우대혜택을 제공",36개월,36개월,제한없음,제한없음,2.8
020,우리은행,정기적금,"일정한 기간을 정하여, 일정한 금액을 지급할 것을 약정하고, 매월 약정한 날짜에 월저축금을 입금하는 목돈 마련을 위한 적립식 예금의 대표적인 상품",6개월 이상,12개월 미만,제한없음,제한없음,2.6
020,우리은행,정기적금,"일정한 기간을 정하여, 일정한 금액을 지급할 것을 약정하고, 매월 약정한 날짜에 월저축금을 입금하는 목돈 마련을 위한 적립식 예금의 대표적인 상품",12개월 이상,24개월 미만,제한없음,제한없음,2.85
020,우리은행,정기적금,"일정한 기간을 정하여, 일정한 금액을 지급할 것을 약정하고, 매월 약정한 날짜에 월저축금을 입금하는 목돈 마련을 위한 적립식 예금의 대표적인 상품",24개월 이상,36개월 미만,제한없음,제한없음,3.0
020,우리은행,정기적금,"일정한 기간을 정하여, 일정한 금액을 지급할 것을 약정하고, 매월 약정한 날짜에 월저축금을 입금하는 목돈 마련을 위한 적립식 예금의 대표적인 상품",36개월제,36개월제,제한없음,제한없음,3.1
020,우리은행,정기적금,"일정한 기간을 정하여, 일정한 금액을 지급할 것을 약정하고, 매월 약정한 날짜에 월저축금을 입금하는 목돈 마련을 위한 적립식 예금의 대표적인 상품",36개월 초괴,60개월제,제한없음,제한없음,3.15
020,우리은행,N일 적금,"1. 31일, 100일, 200일동안 감정을 기록하면 우대금리를 받을 수 있는심플하고 재미있는 적금
2. 가입시점에 우리은행 예적금을 미보유한 고객 혹은 가입기간 중 일정기간 이상 납입하고 감정스탬프를 선택한 고객에게 우대금리 혜택 제공",31일,31일,제한없음,제한없음,2.0
020,우리은행,N일 적금,"1. 31일, 100일, 200일동안 감정을 기록하면 우대금리를 받을 수 있는심플하고 재미있는 적금
2. 가입시점에 우리은행 예적금을 미보유한 고객 혹은 가입기간 중 일정기간 이상 납입하고 감정스탬프를 선택한 고객에게 우대금리 혜택 제공",100일,100일,제한없음,제한없음,2.0
020,우리은행,N일 적금,"1. 31일, 100일, 200일동안 감정을 기록하면 우대금리를 받을 수 있는심플하고 재미있는 적금
2. 가입시점에 우리은행 예적금을 미보유한 고객 혹은 가입기간 중 일정기간 이상 납입하고 감정스탬프를 선택한 고객에게 우대금리 혜택 제공",200일,200일,제한없음,제한없음,2.0
031,대구은행,세븐적금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 자유적금,7개월,7개월,제한없음,제한없음,3.55
020,우리은행,우리 WON하는 LCK 적금,WON하는 LCK 콘텐츠의 고객등급 등에 따라 우대금리를 제공하는 적립식 상품,3개월(12주),3개월(12주),제한없음,제한없음,3.0
031,대구은행,내가만든보너스적금,"가입 시 거래실적에 상관 없이 우대금리가 지급되며, 소액 목돈마련에 따른 우대금리 제공 등으로 적금의 재미를 추구하는 자유적립식 적금",6개월,6개월,제한없음,제한없음,3.05
020,대구은행,내가만든보너스적금,"가입 시 거래실적에 상관 없이 우대금리가 지급되며, 소액 목돈마련에 따른 우대금리 제공 등으로 적금의 재미를 추구하는 자유적립식 적금",12개월,12개월,제한없음,제한없음,3.8
031,대구은행,마이(My)적금,나 자신을 위한 목돈마련 적금. 1인가구 라이프스타일에 맞는 조건에 따라 우대이자율을 지급하는 정기적금 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.46
031,대구은행,마이(My)적금,나 자신을 위한 목돈마련 적금. 1인가구 라이프스타일에 맞는 조건에 따라 우대이자율을 지급하는 정기적금 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.48
031,대구은행,마이(My)적금,나 자신을 위한 목돈마련 적금. 1인가구 라이프스타일에 맞는 조건에 따라 우대이자율을 지급하는 정기적금 상품,36개월,36개월,제한없음,제한없음,3.5
A07,SBI저축은행,e-온라인정기적금,인터넷뱅킹으로 상품 가입 시 0.2%p 우대금리를 지급해드리는 정기적금 상품,12개월 이상,15개월 이하,제한없음,제한없음,3.6
031,대구은행,영플러스(YoungPlus)적금,0세부터 29세까지 저축 습관을 키워주는 자유적립식 적금,12개월,12개월,제한없음,제한없음,3.66
031,대구은행,내손안에적금,스마트뱅크를 통해 가입 가능한 스마트뱅크 전용 정기적금,12개월 이상,24개월 미만,제한없음,제한없음,3.46
031,대구은행,내손안에적금,스마트뱅크를 통해 가입 가능한 스마트뱅크 전용 정기적금,24개월 이상,36개월 미만,제한없음,제한없음,3.48
031,대구은행,내손안에적금,스마트뱅크를 통해 가입 가능한 스마트뱅크 전용 정기적금,36개월,36개월,제한없음,제한없음,3.5
031,대구은행,쓰담쓰담적금(정기적립식),"예금기간 중 신용카드 이용실적에 따라 우대이자율을 제공하는 정기적금(정기적립식, 자유적립식)상품",12개월,12개월,제한없음,제한없음,3.4
031,대구은행,쓰담쓰담적금(자유적립식),"예금기간 중 신용카드 이용실적에 따라 우대이자율을 제공하는 정기적금(정기적립식, 자유적립식)상품",12개월,12개월,제한없음,제한없음,3.4
031,대구은행,IM스마트적금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 자유적금,6개월 이상,12개월 미만,제한없음,제한없음,2.75
031,대구은행,IM스마트적금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 자유적금,12개월 이상,24개월 미만,제한없음,제한없음,3.45
031,대구은행,IM스마트적금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 자유적금,24개월 이상,36개월 미만,제한없음,제한없음,3.5
031,대구은행,IM스마트적금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 자유적금,36개월,36개월,제한없음,제한없음,3.55
031,대구은행,평생저축(일반형),불입도 해지도 자유자재로 가능하여 평생거래에 안성맞춤인 평생저축 적립식 자유적금,12개월,12개월,제한없음,제한없음,3.15
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,36개월 이상,60개월 이하,제한없음,제한없음,2.95
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),24개월 이상,36개월 미만,제한없음,제한없음,3.0
A08,대신저축은행,스마트정기적금,"복잡한 우대금리 조건 없이 매월 일정금액을 납입하고, 만기시 높은 수익을 받을 수 있는 모바일 전용상품",12개월,12개월,제한없음,제한없음,4.7
A08,대신저축은행,스마트정기적금,"복잡한 우대금리 조건 없이 매월 일정금액을 납입하고, 만기시 높은 수익을 받을 수 있는 모바일 전용상품",18개월,18개월,제한없음,제한없음,4.7
A08,대신저축은행,스마트정기적금,"복잡한 우대금리 조건 없이 매월 일정금액을 납입하고, 만기시 높은 수익을 받을 수 있는 모바일 전용상품",24개월,24개월,제한없음,제한없음,4.7
A08,대신저축은행,스마트정기적금,"복잡한 우대금리 조건 없이 매월 일정금액을 납입하고, 만기시 높은 수익을 받을 수 있는 모바일 전용상품",30개월,30개월,제한없음,제한없음,4.7
A08,대신저축은행,스마트정기적금,"복잡한 우대금리 조건 없이 매월 일정금액을 납입하고, 만기시 높은 수익을 받을 수 있는 모바일 전용상품",36개월,36개월,제한없음,제한없음,4.7
A08,대신저축은행,정기적금(정액식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",12개월,12개월,제한없음,제한없음,4.7
A08,대신저축은행,정기적금(정액식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",24개월,24개월,제한없음,제한없음,4.7
A08,대신저축은행,정기적금(정액식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",36개월,36개월,제한없음,제한없음,4.7
A08,대신저축은행,정기적금(자유적립식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",12개월,12개월,제한없음,제한없음,2.75
A08,대신저축은행,정기적금(자유적립식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",24개월,24개월,제한없음,제한없음,2.9
A08,대신저축은행,정기적금(자유적립식),"매월 일정금액 또는 한도범위에서 자유롭게 납입하고, 만기시 높은 수익을 받을 수 있는 
상품",36개월,36개월,제한없음,제한없음,2.9
A08,대신저축은행,자유적립예금,"계약기간동안 금액, 횟수에 제한 없이 납입하고, 만기시 높은 수익을 받을 수 있는 상품",12개월,12개월,제한없음,제한없음,2.75
A08,대신저축은행,자유적립예금,"계약기간동안 금액, 횟수에 제한 없이 납입하고, 만기시 높은 수익을 받을 수 있는 상품",24개월,24개월,제한없음,제한없음,2.9
A08,대신저축은행,자유적립예금,"계약기간동안 금액, 횟수에 제한 없이 납입하고, 만기시 높은 수익을 받을 수 있는 상품",36개월,36개월,제한없음,제한없음,2.9
C01,BNK저축은행,정기적금,일정한 기간 동안 가입한도를 정하고 미리 정한 금액을 불입하여 목돈을 마련하는 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.8
C01,BNK저축은행,정기적금,일정한 기간 동안 가입한도를 정하고 미리 정한 금액을 불입하여 목돈을 마련하는 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.3
C01,BNK저축은행,정기적금,일정한 기간 동안 가입한도를 정하고 미리 정한 금액을 불입하여 목돈을 마련하는 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.4
C01,BNK저축은행,정기적금,일정한 기간 동안 가입한도를 정하고 미리 정한 금액을 불입하여 목돈을 마련하는 상품,36개월,36개월,제한없음,제한없음,3.5
C09,우리저축은행,정기적금(월수),매월 일정금액을 정기적으로 납입하는 적립식 상품,6개월,6개월,제한없음,제한없음,2.3
C09,우리저축은행,정기적금(월수),매월 일정금액을 정기적으로 납입하는 적립식 상품,12개월,12개월,제한없음,제한없음,2.4
C09,우리저축은행,정기적금(월수),매월 일정금액을 정기적으로 납입하는 적립식 상품,24개월,24개월,제한없음,제한없음,2.5
C09,우리저축은행,정기적금(월수),매월 일정금액을 정기적으로 납입하는 적립식 상품,36개월,36개월,제한없음,제한없음,2.6
004,국민은행,KB 상호부금(자유적립식),목돈을 마련하는 국민은행의 대표 적립식예금,12개월 이상,24개월 미만,제한없음,제한없음,2.45
037,전북은행,JB 여행스토리적금,"㈜하나투어 제휴를 통해 여행서비스 및 전용 우대상품 제공, 여행상품 결제금액에 대한 캐시백 제공, 환율우대 등 여행 관련 우대서비스를 제공하는 여행을 위한 목돈마련 적립식 상품",12개월 이상,24개월 미만,제한없음,제한없음,0.9
037,전북은행,JB 여행스토리적금,"㈜하나투어 제휴를 통해 여행서비스 및 전용 우대상품 제공, 여행상품 결제금액에  
대한 캐시백 제공, 환율우대 등 여행 관련 우대서비스를 제공하는 여행을 위한 목돈 
마련 적립식 상품",24개월 이상,36개월 미만,제한없음,제한없음,0.95
037,전북은행,JB 여행스토리적금,"㈜하나투어 제휴를 통해 여행서비스 및 전용 우대상품 제공, 여행상품 결제금액에  
대한 캐시백 제공, 환율우대 등 여행 관련 우대서비스를 제공하는 여행을 위한 목돈 
마련 적립식 상품",36개월 이상,48개월 미만,제한없음,제한없음,1.0
037,전북은행,JB 여행스토리적금,"㈜하나투어 제휴를 통해 여행서비스 및 전용 우대상품 제공, 여행상품 결제금액에  
대한 캐시백 제공, 환율우대 등 여행 관련 우대서비스를 제공하는 여행을 위한 목돈 
마련 적립식 상품",48개월 이상,60개월 이하,제한없음,제한없음,1.05
004,국민은행,KB 상호부금(자유적립식),목돈을 마련하는 국민은행의 대표 적립식예금,36개월 이상,72개월 이하,제한없음,제한없음,3.15
004,국민은행,KB 상호부금(자유적립식),목돈을 마련하는 국민은행의 대표 적립식예금,24개월 이상,36개월 미만,제한없음,제한없음,2.9
004,국민은행,KB 상호부금(정액적립식),목돈을 마련하는 국민은행의 대표 적립식예금,6개월 이상,12개월 미만,제한없음,제한없음,2.35
004,국민은행,KB 반려행복적금,반려동물 케어·입양·정보 등록이 가능한 고객 참여형 스마트폰 전용 적금,12개월 이상,24개월 미만,제한없음,제한없음,3.0
004,국민은행,KB 상호부금(정액적립식),목돈을 마련하는 국민은행의 대표 적립식예금,24개월 이상,36개월 미만,제한없음,제한없음,2.95
004,국민은행,KB 반려행복적금,반려동물 케어·입양·정보 등록이 가능한 고객 참여형 스마트폰 전용 적금,24개월 이상,36개월 미만,제한없음,제한없음,3.3
004,국민은행,KB 반려행복적금,반려동물 케어·입양·정보 등록이 가능한 고객 참여형 스마트폰 전용 적금,36개월,36개월,제한없음,제한없음,3.5
004,국민은행,KB 상호부금(정액적립식),목돈을 마련하는 국민은행의 대표 적립식예금,12개월 이상,24개월 미만,제한없음,제한없음,2.55
004,국민은행,일반정기적금,매월 일정액을 납입하여 목돈을 마련하는 적립식예금,6개월 이상,12개월 미만,제한없음,제한없음,2.5
004,국민은행,KB 상호부금(정액적립식),목돈을 마련하는 국민은행의 대표 적립식예금,36개월 이상,72개월 이하,제한없음,제한없음,3.25
004,국민은행,KB 국민프리미엄적금(자유적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.55
004,국민은행,KB 국민프리미엄적금,단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.65
004,국민은행,KB 국민프리미엄적금(자유적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,36개월 이상,60개월 미만,제한없음,제한없음,2.95
004,국민은행,KB 국민프리미엄적금(자유적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,60개월,60개월,제한없음,제한없음,3.15
004,국민은행,KB 국민프리미엄적금(정액적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.75
004,국민은행,KB 국민프리미엄적금(정액적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.95
004,국민은행,KB 국민프리미엄적금(정액적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,36개월 이상,60개월 미만,제한없음,제한없음,3.05
004,국민은행,KB 국민프리미엄적금(정액적립식),단체가입고객 또는 병역명문가 등에게 우대금리를 제공하는 적립식 상품,60개월,60개월,제한없음,제한없음,3.25
032,부산은행,저탄소 실천 적금,생활 속에서 탄소 배출 감축에 참여하는 고객 실천형 환경 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.05
032,부산은행,너만 Solo 적금,결혼 시 높은 우대금리를 부여하는 고금리 결혼특화상품,36개월,36개월,제한없음,제한없음,2.5
B03,남양저축은행,비대면-정기적금,"매월 정해진 금액을 예치하여 일정기간 후 
목돈을 마련할 수 있는 상품",6개월 이상,12개월 미만,제한없음,제한없음,3.9
B03,남양저축은행,비대면-정기적금,"매월 정해진 금액을 예치하여 일정기간 후 
목돈을 마련할 수 있는 상품",12개월 이상,24개월 미만,제한없음,제한없음,4.0
B03,남양저축은행,비대면-정기적금,"매월 정해진 금액을 예치하여 일정기간 후 
목돈을 마련할 수 있는 상품",24개월 이상,36개월 미만,제한없음,제한없음,4.1
B03,남양저축은행,비대면-정기적금,"매월 정해진 금액을 예치하여 일정기간 후 
목돈을 마련할 수 있는 상품",36개월,36개월,제한없음,제한없음,4.2
B04,모아저축은행,생일축하정기적금,생일일자에 적금가입 고객님께 생일축하 우대금리 혜택을 드리는 적립식 상품,24개월 이상,36개월 이하,제한없음,제한없음,3.9
B04,모아저축은행,12간지정기적금,가입년도 12간지 띠에 해당되는 고객님께 우대금리 혜택을 드리는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.1
B04,모아저축은행,12간지정기적금,가입년도 12간지 띠에 해당되는 고객님께 우대금리 혜택을 드리는 적립식 상품,24개월 이상,36개월 이하,제한없음,제한없음,3.9
B04,모아저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 목돈마련 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.0
B04,모아저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 목돈마련 상품,24개월 이상,36개월 이하,제한없음,제한없음,3.8
Z03,카카오뱅크,26주적금,26 주동안 매주 가입금액만큼 증액된 금액을 납입하여 목돈을 모으는 적금 상품,6개월,6개월,제한없음,제한없음,3.5
A10,민국저축은행,e-행복정기적금,"기간을 정하여 매월 일정액으로 적금을 납입하는 목돈마련 저축으로 
인터넷뱅킹을 통하여 가입하실 수 있는 상품입니다.",6개월 이상,12개월 미만,제한없음,제한없음,3.0
A10,민국저축은행,e-행복정기적금,"기간을 정하여 매월 일정액으로 적금을 납입하는 목돈마련 저축으로 
인터넷뱅킹을 통하여 가입하실 수 있는 상품입니다.",12개월 이상,36개월 미만,제한없음,제한없음,4.1
A10,민국저축은행,e-행복정기적금,"기간을 정하여 매월 일정액으로 적금을 납입하는 목돈마련 저축으로 
인터넷뱅킹을 통하여 가입하실 수 있는 상품입니다.",36개월 이상,48개월 미만,제한없음,제한없음,3.6
A10,민국저축은행,e-행복정기적금,"기간을 정하여 매월 일정액으로 적금을 납입하는 목돈마련 저축으로 
인터넷뱅킹을 통하여 가입하실 수 있는 상품입니다.",48개월 이상,60개월 이하,제한없음,제한없음,3.4
B01,JT저축은행,자유적립예금,"얼마를 저축할지 확실치 않지만 목돈저축을 
원하는 고객을 위한 자유적립형 저축상품",3개월 이상,6개월 미만,제한없음,제한없음,1.2
B01,JT저축은행,자유적립예금,"얼마를 저축할지 확실치 않지만 목돈저축을 
원하는 고객을 위한 자유적립형 저축상품",6개월 이상,12개월 미만,제한없음,제한없음,1.45
B01,JT저축은행,자유적립예금,"얼마를 저축할지 확실치 않지만 목돈저축을 
원하는 고객을 위한 자유적립형 저축상품",12개월 이상,24개월 이하,제한없음,제한없음,2.4
007,수협은행,Real적금,Real2카드 결제실적에 따라 우대금리를 제공하는 정액적립식 예금,6개월 이상,12개월 이하,제한없음,제한없음,1.5
B04,모아저축은행,생일축하정기적금,생일일자에 적금가입 고객님께 생일축하 우대금리 혜택을 드리는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.1
B05,부림저축은행,정기적금(인터넷뱅킹),"매월 일정금액을 정기적으로 적립하고 만기에
 원금과 이자를 수령하는 목돈만들기 상품(비대면전용상품)",6개월 이상,12개월 미만,제한없음,제한없음,2.4
B05,부림저축은행,정기적금(인터넷뱅킹),"매월 일정금액을 정기적으로 적립하고 만기에
 원금과 이자를 수령하는 목돈만들기 상품(비대면전용상품)",12개월 이상,24개월 미만,제한없음,제한없음,3.9
B05,부림저축은행,정기적금(인터넷뱅킹),"매월 일정금액을 정기적으로 적립하고 만기에
 원금과 이자를 수령하는 목돈만들기 상품(비대면전용상품)",24개월 이상,60개월 이하,제한없음,제한없음,3.3
B05,부림저축은행,정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 
원금과 이자를 수령하는 목돈만들기 상품 (창구 전용)",6개월 이상,12개월 미만,제한없음,제한없음,2.4
B05,부림저축은행,정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 
원금과 이자를 수령하는 목돈만들기 상품 (창구 전용)",12개월 이상,24개월 미만,제한없음,제한없음,3.9
B05,부림저축은행,정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 
원금과 이자를 수령하는 목돈만들기 상품 (창구 전용)",24개월 이상,60개월 이하,제한없음,제한없음,3.3
B05,부림저축은행,톡톡정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 원금과 이자를 
수령하는 목돈만들기 상품(비대면전용상품)",12개월 이상,24개월 미만,제한없음,제한없음,3.9
B05,부림저축은행,톡톡정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 원금과 이자를 
수령하는 목돈만들기 상품(비대면전용상품)",24개월 이상,60개월 이하,제한없음,제한없음,3.3
B05,부림저축은행,자유적립예금,일정기간동안 금액 횟수에 제한없이 자유롭게 납입하고 만기일에 목돈을 마련하는 상품(영업점내방/창구전용),0개월 이상,1개월 미만,제한없음,제한없음,0.25
B05,부림저축은행,자유적립예금,일정기간동안 금액 횟수에 제한없이 자유롭게 납입하고 만기일에 목돈을 마련하는 상품(영업점내방/창구전용),1개월 이상,3개월 미만,제한없음,제한없음,2.0
B05,부림저축은행,자유적립예금,일정기간동안 금액 횟수에 제한없이 자유롭게 납입하고 만기일에 목돈을 마련하는 상품(영업점내방/창구전용),3개월 이상,6개월 미만,제한없음,제한없음,2.2
B05,부림저축은행,자유적립예금,일정기간동안 금액 횟수에 제한없이 자유롭게 납입하고 만기일에 목돈을 마련하는 상품(영업점내방/창구전용),6개월 이상,12개월 미만,제한없음,제한없음,3.4
003,기업은행,정기적금 [정액적금],목돈을 만들기 위해 일정기간 일정금액을 적립하는 상,12개월이상,24개월미만,제한없음,제한없음,3.45
003,기업은행,정기적금 [정액적금],목돈을 만들기 위해 일정기간 일정금액을 적립하는 상,24개월이상,36개월미만,제한없음,제한없음,3.55
003,기업은행,정기적금 [정액적금],목돈을 만들기 위해 일정기간 일정금액을 적립하는 상,36개월이상,72개월이하,제한없음,제한없음,3.65
003,기업은행,IBK썸통장[적금],거래실적을 합산하여 다양한 금융혜택 제공,12개월,12개월,제한없음,제한없음,3.0
071,우체국,우체국매일모아e적금,매일저축 및 매주 알림저축 서비스를 통해 소액으로 편리하게 목돈마련이 가능한 디지털 적금,6개월이상,12개월이하,제한없음,제한없음,2.7
071,우체국,우체국가치모아적금,"여행자금, 모임회비 등 목돈 마련을 위해 여럿이 함께 저축 할수록 혜택이 커지고 다양한 우대 서비스를 제공하는 적립식 예금상품",6개월이상,12개월이하,제한없음,제한없음,2.6
071,우체국,다드림적금,"우체국예금 장기고객, 우수고객을 우대하며 급여, 연금, 공과금 자동이체 등 주거래 실적에 따라 우대혜택이 커지는 적립식 상품",12개월,12개월,제한없음,제한없음,2.6
071,우체국,다드림적금,"우체국예금 장기고객, 우수고객을 우대하며 급여, 연금, 공과금 자동이체 등 주거래 실적에 따라 우대혜택이 커지는 적립식 상품",24개월,24개월,제한없음,제한없음,2.7
071,우체국,다드림적금,"우체국예금 장기고객, 우수고객을 우대하며 급여, 연금, 공과금 자동이체 등 주거래 실적에 따라 우대혜택이 커지는 적립식 상품",36개월,36개월,제한없음,제한없음,2.7
A17,웰컴저축은행,웰뱅든든 적금,신용평점에따라 우대금리를 제공하는 적립식 상품,12개월,12개월,제한없음,제한없음,2.0
A17,웰컴저축은행,웰뱅하자 정기적금,자동납부 또는 입출금통장 평잔 실적에 따라 우대금리를 제공하는 적립식 상품,12개월,12개월,제한없음,제한없음,2.0
A17,웰컴저축은행,웰뱅 워킹 적금,상품가입기간 내 걸음수에 따라 우대금리를 지급받을 수 있는 적립식 상품,12개월,12개월,제한없음,제한없음,1.0
