은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
A05,OK저축은행,중도해지OK정기예금6,6개월 이상 단기 여유자금 운용에 유용한 목돈 굴리기 상품,12개월,12개월,10만원 이상,1억원 이하,2.5
A05,OK저축은행,중도해지OK정기예금369,하루만 맡겨도 약정금리(3개월 단위 변동금리)가 적용되는 목돈 굴리기 상품,36개월,36개월,10만원 이상,제한없음,3.5
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.35
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.2
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.05
A18,유안타저축은행,정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.75
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.35
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.2
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.05
A18,유안타저축은행,정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (창구 전용상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.75
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.4
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.25
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.1
A18,유안타저축은행,e-정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.8
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.4
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.25
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.1
A18,유안타저축은행,e-정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (인터넷, 스마트폰 전용 상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.8
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.35
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.2
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.05
A18,유안타저축은행,SB톡톡 정기예금(단리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 월단위 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.75
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",6개월 이상,12개월 미만,10만원 이상,제한없음,3.2
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",12개월 이상,18개월 미만,10만원 이상,제한없음,4.35
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",18개월 이상,24개월 미만,10만원 이상,제한없음,4.2
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",24개월 이상,30개월 미만,10만원 이상,제한없음,4.05
A18,유안타저축은행,SB톡톡 정기예금(복리식),"일정금액을 일정기간을 정하여 저축은행에 예치하고, 예치기간이 만료되었을 때 정해진 이자를 지급하는 기한부 예금으로 목돈을 운용하기 적합한 상품 (SB톡톡(비대면) 전용 상품)",30개월 이상,36개월 이하,10만원 이상,제한없음,3.75
A18,유안타저축은행,유안타 회전정기예금(단리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (창구 전용상품)",36개월,36개월,10만원 이상,제한없음,4.4
A18,유안타저축은행,유안타 회전정기예금(복리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (창구 전용상품)",36개월,36개월,10만원 이상,제한없음,4.4
A18,유안타저축은행,e-회전정기예금(단리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (인터넷, 스마트폰 전용상품)",36개월,36개월,10만원 이상,제한없음,4.45
A18,유안타저축은행,e-회전정기예금(복리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (인터넷, 스마트폰 전용상품)",36개월,36개월,10만원 이상,제한없음,4.45
A18,유안타저축은행,SB톡톡 회전정기예금(단리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (SB톡톡(비대면) 전용 상품)",36개월,36개월,10만원 이상,제한없음,4.4
A18,유안타저축은행,SB톡톡 회전정기예금(복리식),"매 회전주기(1년) 마다 영업점 방문 없이 자동 회전되며, 회전되는 시기의 정기예금 금리에 우대금리를 드리는 상품. 중도해지 시에도
기간에 따른 약정이율을 제공하여 장기예치도 부담 없는 정기예금 (SB톡톡(비대면) 전용 상품)",36개월,36개월,10만원 이상,제한없음,4.4
E03,동양저축은행,정기예금(창구),"(단리식) 일정금액, 일정기간을 정하여 예치하고 매월 예입 응당일에 1회씩 단리로 이자를 지급받는 정기예금
(복리식) 일정금액, 일정기간을 정하여 예치하고 연단위 이자 수령(월복리식) 또는 해지시(중도,만기)정해진 이자와 함게 원리금을 지급받는 예금(중도해지 이자와 만기 후 이자는 단리적용)",1개월 이상,3개월 미만,10만원 이상,제한없음,1.2
E03,동양저축은행,정기예금(창구),"(단리식) 일정금액, 일정기간을 정하여 예치하고 매월 예입 응당일에 1회씩 단리로 이자를 지급받는 정기예금
(복리식) 일정금액, 일정기간을 정하여 예치하고 연단위 이자 수령(월복리식) 또는 해지시(중도,만기)정해진 이자와 함게 원리금을 지급받는 예금(중도해지 이자와 만기 후 이자는 단리적용)",3개월 이상,6개월 미만,10만원 이상,제한없음,2.0
E03,동양저축은행,정기예금(창구),"(단리식) 일정금액, 일정기간을 정하여 예치하고 매월 예입 응당일에 1회씩 단리로 이자를 지급받는 정기예금
(복리식) 일정금액, 일정기간을 정하여 예치하고 연단위 이자 수령(월복리식) 또는 해지시(중도,만기)정해진 이자와 함게 원리금을 지급받는 예금(중도해지 이자와 만기 후 이자는 단리적용)",6개월 이상,12개월 미만,10만원 이상,제한없음,2.6
E03,동양저축은행,정기예금(창구),"(단리식) 일정금액, 일정기간을 정하여 예치하고 매월 예입 응당일에 1회씩 단리로 이자를 지급받는 정기예금
(복리식) 일정금액, 일정기간을 정하여 예치하고 연단위 이자 수령(월복리식) 또는 해지시(중도,만기)정해진 이자와 함게 원리금을 지급받는 예금(중도해지 이자와 만기 후 이자는 단리적용)",12개월 이상,24개월 미만,10만원 이상,제한없음,4.4
E03,동양저축은행,정기예금(창구),"(단리식) 일정금액, 일정기간을 정하여 예치하고 매월 예입 응당일에 1회씩 단리로 이자를 지급받는 정기예금
(복리식) 일정금액, 일정기간을 정하여 예치하고 연단위 이자 수령(월복리식) 또는 해지시(중도,만기)정해진 이자와 함게 원리금을 지급받는 예금(중도해지 이자와 만기 후 이자는 단리적용)",24개월 이상,36개월 이하,10만원 이상,제한없음,3.8
E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.3
E05,센트럴저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,12개월,12개월,10만원 이상,제한없음,4.0
E04,삼호저축은행,정기예금(복리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,1.6
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,36개월 초과,60개월 미만,제한없음,제한없음,3.0
D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,15개월 이상,18개월 미만,10만원 이상,제한없음,4.1
E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,1개월 이상,6개월 미만,10만원 이상,제한없음,1.5
E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,1.6
E04,삼호저축은행,정기예금(복리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,1개월 이상,6개월 미만,10만원 이상,제한없음,1.5
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.1
E04,삼호저축은행,정기예금(복리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,12개월 이상,24개월 미만,10만원 이상,제한없음,3.8
E04,삼호저축은행,정기예금(복리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,36개월 이하,10만원 이상,제한없음,3.7
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,1개월 이상,6개월 미만,10만원 이상,제한없음,1.5
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,1.6
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,12개월 이상,24개월 이하,10만원 이상,제한없음,3.8
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.2
E05,센트럴저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.1
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.4
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.3
E05,센트럴저축은행,e-정기예금(복리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,12개월,12개월,10만원 이상,제한없음,3.8
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",36개월,36개월,1백만원 이상,제한없음,3.3
F02,상상인플러스저축은행,회전정기예금(비대면),"영업점 방문없이 스마트폰을 이용해 개설이 가능하며, 일정기간동안 목돈을 예치하고 매월 또는 만기에 이자를 지급 받는 거치식 상품입니다.",12개월,12개월,10만원이상,제한없음,4.2
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,12개월 이상,24개월 미만,10만원,제한없음,2.55
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,36개월,36개월,1만원 이상,제한없음,3.3
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,1개월 이상,3개월 이하,1만원 이상,제한없음,3.0
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,3개월이상,6개월미만,1만원 이상,제한없음,3.6
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,6개월이상,12개월미만,1만원 이상,제한없음,3.65
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,12개월이상,24개월미만,1만원 이상,제한없음,3.68
020,우리은행,WON플러스 예금,인터넷(스마트)뱅킹 및 텔레뱅킹 등 비대면 채널을 통해 가입 가능한 정기예금,24개월이상,36개월미만,1만원 이상,제한없음,3.3
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,6개월 이상,12개월 미만,5백만원,제한없음,2.55
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",1개월 이상,3개월 미만,1백만원 이상,제한없음,2.75
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",3개월 이상,6개월 미만,1백만원 이상,제한없음,2.9
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",6개월 이상,12개월 미만,1백만원 이상,제한없음,2.95
020,우리은행,오렌지 정기예금(12차) 자동연장형,"CD금리에 연동되어 3개월마다 금리가 변경되어 적용되는 상품, 시장금리가 상승할 것으로 예상하는 고객에게 적합한 상품",6개월,6개월,제한없음,제한없음,3.09
020,우리은행,오렌지 정기예금(12차) 자동연장형,"CD금리에 연동되어 3개월마다 금리가 변경되어 적용되는 상품, 시장금리가 상승할 것으로 예상하는 고객에게 적합한 상품",12개월,12개월,제한없음,제한없음,3.29
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,1개월 이상,3개월 미만,제한없음,제한없음,2.2
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,3개월 이상,6개월 미만,제한없음,제한없음,2.25
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,12개월 이상,24개월 미만,제한없음,제한없음,2.65
020,우리은행,두루두루정기예금,"1. 회전주기별 금리변동형 정기예금
2. 중도해지시에도 회전주기별로 약정이율 제공",12개월 이상 연단위,제한없음,제한없음,제한없음,2.1
D07,머스트삼일저축은행,e-정기예금(단리),일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,12개월,10만원 이상,제한없음,4.3
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,24개월 이상,36개월 미만,10만원,제한없음,2.8
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,12개월 이상,24개월 미만,100만원,제한없음,3.75
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,36개월,36개월,100만원,제한없음,3.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,1개월 이상,3개월 미만,100만원,제한없음,2.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,24개월 이상,36개월 미만,100만원,제한없음,3.2
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,3개월 이상,6개월 미만,100만원,제한없음,2.4
031,대구은행,IM스마트예금,비대면채널 전용상품으로 조건 충족 시 추가 우대금리를 지급하는 정기예금,6개월 이상,12개월 미만,100만원,제한없음,2.8
031,대구은행,복리회전예금,"회전주기마다 이자가 복리로 계산되며, (최초 복리회전기간 경과 후) 중도 해지시에도 이자의 손해가 없는 정기예금",12개월,60개월,100만원,제한없음,2.18
031,대구은행,복리회전예금,"회전주기마다 이자가 복리로 계산되며, (최초 복리회전기간 경과 후) 중도 해지시에도 이자의 손해가 없는 정기예금",12개월,60개월,100만원,제한없음,1.95
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",6개월 이상,12개월 미만,100원,제한없음,2.55
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,1개월 이상,3개월 미만,5백만원,제한없음,2.25
032,부산은행,LIVE정기예금,특판 전용 정기예금,24개월 이상,36개월 미만,1천만원,제한없음,2.8
031,대구은행,파랑새정기예금,기한부 저축성 예금으로 목돈을 운용하는데 적합한 정기예금,1개월 이상,3개월 미만,100원,제한없음,1.65
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,36개월 이상,60개월,10만원,제한없음,3.0
C10,조흥저축은행,e-정기예금(단리),비대면정기예금 단리식,12개월,12개월,10만원,제한없음,4.5
A08,대신저축은행,스마트 회전정기예금,회전주기(매1년) 단위로 약정이율이 변동되는 모바일전용 회전정기예금,36개월,36개월,10만원,제한없음,4.2
A08,대신저축은행,회전정기예금,회전주기(매1년) 단위로 약정이율이 변동되는 영업점전용 회전정기예금,36개월,36개월,10만원,제한없음,4.2
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",12개월,12개월,10만원,제한없음,4.2
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",13개월,13개월,10만원,제한없음,4.25
A08,대신저축은행,대신든든정기예금,"금융사기 피해예방을 위한 오프라인 전용(신규,해지) 예금 상품",24개월,24개월,10만원,제한없음,3.65
